,ScalingFactorS,LoadScalingFactor,electricEnergyKwh,naturalGasEnergyKwh,districtHeatingEnergyKwh,volumeFlowMainVentilatorM3H,PowerDemandMainVentilator,TemperatureBeforeMainVentilator,TemperatureAfterMainVentilator,volumeFlowRegenerationVentilatorM3H,PowerDemandRegenerationVentilator,TemperatureRegenerationHeater,HeatFlowRegenerationHeater,HeatFlowPreCooler/Heater-amb-1,TemperaturePreCooler-amb-1,HeatFlowPreCooler-3-4,TemperaturePreCooler-3-4,HeatFlowPreHeater-5-In,TemperaturePreHeater-5-In,FluidTemperatureInHeatRecoveryUnit,TemperatureInPurgeAir,DewPointTemperatureDryRoom,TemperatureDryRoom,DryRoomHeatLoad,DryRoomMoistureLoad,OutsideRelativeHumidity,OutsideTemperatureDegrees,Preheating,locationVariant
82,2.0,2.0,1591125.9,927602.8,256805.75,6.1258335,15410.772,298.2916,298.8305,1.8352,2756.3054,397.735,138260.78,0.0,288.01157,-20.0,294.8014,32518.164,314.07895,342.73627,310.1283,14.384356,305.98184,8095.0,0.0013888889,0.7777662948478397,27.769243071260327,0.0,JK-23
83,3.0,2.0,2393692.5,1274851.2,504906.12,9.18875,23060.686,298.09198,298.62946,2.7528,4109.6514,397.735,190373.73,0.0,289.87634,-30.0,295.62518,58478.11,313.83258,343.8471,310.09225,14.249926,305.46902,12142.5,0.0013888889,0.7777662965260771,27.769243073915266,0.0,JK-24
84,4.0,2.0,3194431.5,1600275.1,757546.5,12.251667,30709.404,297.96738,298.50433,3.6704,5483.8657,397.73502,243905.05,0.0,291.4368,-40.0,296.25336,85292.484,313.6061,345.09186,310.27887,14.182326,305.1777,16190.0,0.0013888889,0.7777662906879376,27.76924307713242,0.0,JK-25
85,5.0,2.0,3994687.5,1911907.9,1010987.8,15.314584,38365.004,297.88474,298.42148,4.588,6892.423,397.73502,301770.0,0.0,292.7425,-50.0,296.79648,112332.37,314.31485,345.90533,310.5616,14.141642,304.99188,20237.5,0.0013888889,0.7777663013320728,27.769243038481367,0.0,JK-26
86,6.0,2.0,4794370.5,2213227.5,1264385.6,18.3775,46021.86,297.82858,298.40802,5.5056,8309.279,397.73502,359575.03,0.0,293.83173,-60.0,297.21387,139384.97,315.09427,346.47678,310.83676,14.114464,304.86652,24285.0,0.0013888889,0.7777663018792327,27.76924305054258,0.0,JK-27
87,7.0,2.0,5595780.5,2506381.5,1517445.2,21.440416,53675.812,297.9857,298.57697,6.4232,9732.839,397.73502,417339.56,0.0,294.73825,-70.0,297.54782,166764.56,314.5998,346.89975,311.06815,14.095024,305.07172,28332.5,0.0013888889,0.7777662947654195,27.769243076744853,0.0,JK-28
88,8.0,2.0,6396924.5,2792838.5,1770056.9,24.503334,61358.3,298.13272,298.72278,7.3408,11161.958,397.73502,475074.4,0.0,295.49075,-80.0,297.82208,194064.94,314.52045,347.22516,311.25278,14.0804405,305.25546,32380.0,0.0013888889,0.7777662918518997,27.769243083253517,0.0,JK-29
89,9.0,2.0,7197816.0,3073660.8,2022180.1,27.56625,69046.17,298.2602,298.8492,8.2584,12595.821,397.73502,532790.2,0.0,296.11578,-90.0,298.0506,221239.27,315.54395,347.48337,311.39957,14.069083,305.41693,36427.5,0.0013888889,0.7777662948584794,27.769243080652252,0.0,JK-30
90,0.5,0.5,221180.48,238584.25,96298.586,1.5314584,3933.5718,296.2053,296.87515,0.4588,767.0612,397.73502,67578.48,17528.545,283.15,-5.0,293.5502,16600.0,313.19724,333.15,309.88303,14.046838,304.31155,505.9375,0.00020001976,0.719068954484904,7.111542534057642,16471.258,OT-1
91,1.0,0.5,437170.3,461455.0,245707.95,3.0629168,7780.502,295.7341,296.4021,0.9176,1526.5317,397.73502,97509.555,35075.074,283.15,-10.0,293.50912,33200.0,312.5094,335.68536,310.19168,14.049423,303.63232,1011.875,0.0004000395,0.7190689549616964,7.111542604621628,32943.793,OT-2
92,2.0,0.5,867789.25,894715.5,579626.9,6.1258335,15496.216,295.16647,295.83426,1.8352,3033.5662,397.7351,180794.4,70355.664,283.15,-20.0,293.46555,66400.0,311.7204,340.8439,310.322,14.050719,302.82242,2023.75,0.000800079,0.7190689525635333,7.1115425478639,65953.09,OT-3
93,3.0,0.5,1293131.9,1323525.2,920861.7,9.18875,23241.854,294.8271,295.49512,2.7528,4536.5303,397.73502,259430.2,105664.305,283.15,-30.0,293.4435,99600.0,311.37814,342.95947,310.3295,14.051156,302.33975,3035.625,0.0012001186,0.7190689569215394,7.111542309163347,99005.05,OT-4
94,4.0,0.5,1714625.0,1750799.1,1263770.1,12.251667,31002.287,294.59146,295.25974,3.6704,6038.296,397.73502,336685.7,140981.58,283.15,-40.0,293.43185,132800.0,311.1983,344.1591,310.42377,14.051376,302.005,4047.5,0.0013888889,0.7190689786693996,7.111542289863868,132070.14,OT-5
95,5.0,0.5,2135099.5,2174984.5,1607600.9,15.314584,38773.36,294.41586,295.08438,4.588,7539.4976,397.73502,413828.16,176302.83,283.15,-50.0,293.42703,166000.0,311.51147,344.92606,310.58893,14.051512,301.75574,5059.375,0.0013888889,0.7190689648749583,7.111541978487865,165136.11,OT-6
96,6.0,0.5,2554972.0,2594355.2,1952190.2,18.3775,46550.855,294.27948,294.94818,5.5056,9040.438,397.73505,491283.06,211609.73,283.15,-60.0,293.4274,199200.0,311.26495,345.45966,310.77856,14.051599,301.56216,6071.25,0.0013888889,0.7190689701287198,7.111542063755304,198208.78,OT-7
97,7.0,0.5,2976672.8,3008357.0,2297295.0,21.440416,54331.22,294.1706,294.83945,6.4232,10541.1875,397.73502,569131.56,246948.0,283.15,-70.0,293.4319,232400.0,311.00168,345.8548,310.96594,14.051659,301.40765,7083.125,0.0013888889,0.7190689650649984,7.111542300931516,231279.58,OT-8
98,8.0,0.5,3398326.0,3415677.5,2642870.5,24.503334,62111.918,294.08188,294.7509,7.3408,12041.827,397.73505,647331.25,282275.6,283.15,-80.0,293.45825,265600.0,310.93054,346.15912,311.1349,14.051714,301.28177,8095.0,0.0013888889,0.7190689613712365,7.111541856812122,264352.38,OT-9
99,9.0,0.5,3819949.8,3816831.8,2988749.0,27.56625,69891.36,294.00848,294.67758,8.2584,13542.411,397.73508,725805.7,317595.72,283.15,-90.0,293.53796,298800.0,310.90155,346.40042,311.28162,14.051752,301.17764,9106.875,0.0013888889,0.7190689639909743,7.11154192811271,297425.9,OT-10
100,0.5,1.0,220273.48,259584.62,83097.914,1.5314584,3935.6582,296.33566,297.00626,0.4588,757.98535,397.73502,67578.516,17530.273,283.15,-5.0,293.56805,16600.0,313.24377,333.88217,309.84024,14.120654,304.62012,1011.875,0.0004000395,0.7190689562439568,7.111542463283313,16472.91,OT-11
101,1.0,1.0,435275.06,501381.75,223789.25,3.0629168,7782.104,295.85968,296.5284,0.9176,1507.0868,397.73502,92471.04,35062.05,283.15,-10.0,293.53058,33200.0,312.5556,338.28018,310.14136,14.123223,303.93378,2023.75,0.000800079,0.719068951537376,7.111542625160095,32945.824,OT-12
102,2.0,1.0,866210.8,970660.5,548291.2,6.1258335,15499.322,295.2861,295.95462,1.8352,2992.5347,397.73502,171796.64,70288.99,283.15,-20.0,293.49326,66400.0,311.76654,341.5658,310.28223,14.124509,303.11514,4047.5,0.0013888889,0.7190689429531415,7.111542572906675,65923.125,OT-13
103,3.0,1.0,1292548.0,1429525.1,883236.9,9.18875,23245.871,294.9432,295.61194,2.7528,4473.5938,397.73502,250157.98,105577.32,283.15,-30.0,293.47696,99600.0,311.42422,343.00214,310.27197,14.124943,302.62732,6071.25,0.0013888889,0.7190689749050684,7.111542149458623,98956.06,OT-14
104,4.0,1.0,1715573.4,1874852.5,1221762.0,12.251667,31007.184,294.70578,295.37476,3.6704,5953.2983,397.73502,329755.22,140874.75,283.15,-40.0,293.4707,132800.0,311.24435,344.16684,310.35696,14.125162,302.2899,8095.0,0.0013888889,0.7190689730118098,7.111542061226458,132004.84,OT-15
